trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
36,2026-05-08 02:54:08.965107+00:00,MSFT,hit_stop,-1.0,-111.6,11048.04,11852.98,-6.79,True
37,2026-05-08 02:54:09.005002+00:00,MSFT,expired,-0.515,-56.9,10991.13,11852.98,-7.27,True
38,2026-05-08 02:54:09.874635+00:00,NVDA,expired,-0.091,-9.97,10981.17,11852.98,-7.36,True
39,2026-05-08 02:54:09.984287+00:00,NVDA,hit_target,1.15,126.28,11107.45,11852.98,-6.29,True
40,2026-05-08 02:54:09.984919+00:00,NVDA,hit_target,1.15,127.74,11235.19,11852.98,-5.21,True
41,2026-05-08 02:54:09.995073+00:00,NVDA,hit_stop,-1.0,-112.35,11122.84,11852.98,-6.16,True
42,2026-05-08 02:54:10.004024+00:00,NVDA,expired,0.451,50.14,11172.98,11852.98,-5.74,True
43,2026-05-08 02:54:10.009276+00:00,NVDA,hit_stop,-1.0,-111.73,11061.25,11852.98,-6.68,True
44,2026-05-08 02:54:10.772275+00:00,AMZN,hit_target,1.15,127.2,11188.45,11852.98,-5.61,True
45,2026-05-08 02:54:10.773961+00:00,AMZN,expired,0.625,69.94,11258.39,11852.98,-5.02,True
46,2026-05-08 02:54:10.775321+00:00,AMZN,expired,0.291,32.78,11291.17,11852.98,-4.74,True
47,2026-05-08 02:54:10.776120+00:00,AMZN,expired,0.509,57.45,11348.62,11852.98,-4.26,True
48,2026-05-08 02:54:10.777758+00:00,AMZN,expired,0.248,28.17,11376.79,11852.98,-4.02,True
49,2026-05-08 02:54:10.782652+00:00,AMZN,expired,-0.023,-2.59,11374.2,11852.98,-4.04,True
50,2026-05-08 02:54:10.801119+00:00,AMZN,expired,0.577,65.64,11439.84,11852.98,-3.49,True
51,2026-05-08 02:54:10.801917+00:00,AMZN,expired,0.65,74.38,11514.23,11852.98,-2.86,True
52,2026-05-08 02:54:10.813236+00:00,AMZN,expired,0.341,39.21,11553.44,11852.98,-2.53,True
53,2026-05-08 02:54:10.814052+00:00,AMZN,expired,0.761,87.95,11641.39,11852.98,-1.79,True
54,2026-05-08 02:54:10.814820+00:00,AMZN,expired,0.41,47.73,11689.12,11852.98,-1.38,True
55,2026-05-08 02:54:10.816202+00:00,AMZN,expired,0.52,60.77,11749.89,11852.98,-0.87,True
56,2026-05-08 02:54:10.816959+00:00,AMZN,hit_target,1.15,135.12,11885.01,11885.01,0.0,False
57,2026-05-08 02:54:10.818228+00:00,AMZN,hit_target,1.15,136.68,12021.69,12021.69,0.0,False
58,2026-05-08 02:54:10.819100+00:00,AMZN,hit_target,1.15,138.25,12159.94,12159.94,0.0,False
59,2026-05-08 02:54:10.820046+00:00,AMZN,hit_stop,-1.0,-121.6,12038.34,12159.94,-1.0,True
60,2026-05-08 02:54:10.834644+00:00,AMZN,hit_stop,-1.0,-120.38,11917.96,12159.94,-1.99,True
61,2026-05-08 02:54:10.858319+00:00,AMZN,hit_target,1.86,221.67,12139.63,12159.94,-0.17,True
62,2026-05-08 02:54:10.858909+00:00,AMZN,hit_target,1.56,189.38,12329.01,12329.01,0.0,False
63,2026-05-08 02:54:10.861563+00:00,AMZN,expired,-0.272,-33.55,12295.46,12329.01,-0.27,True
64,2026-05-08 02:54:10.863211+00:00,AMZN,expired,0.642,78.91,12374.37,12374.37,0.0,False
65,2026-05-08 02:54:10.890597+00:00,AMZN,expired,0.985,121.89,12496.27,12496.27,0.0,False
66,2026-05-08 02:54:10.891976+00:00,AMZN,expired,0.659,82.4,12578.67,12578.67,0.0,False
67,2026-05-08 02:54:10.892884+00:00,AMZN,hit_target,1.28,161.01,12739.67,12739.67,0.0,False
68,2026-05-08 02:54:10.916824+00:00,AMZN,hit_stop,-1.0,-127.4,12612.28,12739.67,-1.0,True
69,2026-05-08 02:54:11.682994+00:00,GOOGL,expired,-0.369,-46.5,12565.78,12739.67,-1.37,True
70,2026-05-08 02:54:11.693348+00:00,GOOGL,expired,0.173,21.68,12587.46,12739.67,-1.19,True
71,2026-05-08 02:54:11.694158+00:00,GOOGL,expired,0.969,121.93,12709.39,12739.67,-0.24,True
72,2026-05-08 02:54:11.698877+00:00,GOOGL,expired,-0.346,-43.99,12665.39,12739.67,-0.58,True
73,2026-05-08 02:54:11.699332+00:00,GOOGL,hit_stop,-1.0,-126.65,12538.74,12739.67,-1.58,True
74,2026-05-08 02:54:11.703628+00:00,GOOGL,hit_stop,-1.0,-125.39,12413.35,12739.67,-2.56,True
75,2026-05-08 02:54:11.717210+00:00,GOOGL,expired,0.712,88.36,12501.71,12739.67,-1.87,True
76,2026-05-08 02:54:11.719264+00:00,GOOGL,hit_target,1.15,143.77,12645.48,12739.67,-0.74,True
77,2026-05-08 02:54:11.732925+00:00,GOOGL,expired,0.848,107.23,12752.71,12752.71,0.0,False
78,2026-05-08 02:54:11.734142+00:00,GOOGL,hit_target,1.4,178.54,12931.25,12931.25,0.0,False
79,2026-05-08 02:54:11.734653+00:00,GOOGL,hit_target,1.15,148.71,13079.96,13079.96,0.0,False
80,2026-05-08 02:54:11.735727+00:00,GOOGL,hit_target,1.15,150.42,13230.38,13230.38,0.0,False
81,2026-05-08 02:54:11.737665+00:00,GOOGL,expired,0.248,32.8,13263.17,13263.17,0.0,False
82,2026-05-08 02:54:11.739334+00:00,GOOGL,expired,0.28,37.17,13300.34,13300.34,0.0,False
83,2026-05-08 02:54:11.740422+00:00,GOOGL,hit_target,1.15,152.95,13453.3,13453.3,0.0,False
84,2026-05-08 02:54:11.741148+00:00,GOOGL,hit_target,1.15,154.71,13608.01,13608.01,0.0,False
85,2026-05-08 02:54:11.746427+00:00,GOOGL,hit_stop,-1.0,-136.08,13471.93,13608.01,-1.0,True
86,2026-05-08 02:54:11.768874+00:00,GOOGL,hit_stop,-1.0,-134.72,13337.21,13608.01,-1.99,True
87,2026-05-08 02:54:11.774209+00:00,GOOGL,expired,0.062,8.32,13345.53,13608.01,-1.93,True
88,2026-05-08 02:54:11.774993+00:00,GOOGL,expired,0.396,52.87,13398.4,13608.01,-1.54,True
89,2026-05-08 02:54:11.776062+00:00,GOOGL,expired,0.383,51.36,13449.77,13608.01,-1.16,True
90,2026-05-08 02:54:11.776817+00:00,GOOGL,expired,-0.323,-43.43,13406.33,13608.01,-1.48,True
