trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
93,2026-05-08 02:54:13.566442+00:00,TSLA,hit_stop,-1.0,-130.66,12935.16,13131.1,-1.49,True
94,2026-05-08 02:54:13.576713+00:00,TSLA,hit_target,1.6,206.96,13142.12,13142.12,0.0,False
95,2026-05-08 02:54:13.592675+00:00,TSLA,hit_stop,-1.0,-131.42,13010.7,13142.12,-1.0,True
96,2026-05-08 02:54:13.593164+00:00,TSLA,hit_stop,-1.0,-130.11,12880.59,13142.12,-1.99,True
97,2026-05-08 02:54:13.632691+00:00,TSLA,hit_target,2.05,264.05,13144.65,13144.65,0.0,False
98,2026-05-08 02:54:13.634935+00:00,TSLA,hit_stop,-1.0,-131.45,13013.2,13144.65,-1.0,True
99,2026-05-08 02:54:14.425140+00:00,BRK-B,expired,1.431,186.24,13199.44,13199.44,0.0,False
100,2026-05-08 02:54:14.429782+00:00,BRK-B,expired,0.091,12.07,13211.51,13211.51,0.0,False
101,2026-05-08 02:54:14.433080+00:00,BRK-B,hit_target,1.72,227.24,13438.75,13438.75,0.0,False
102,2026-05-08 02:54:14.434388+00:00,BRK-B,hit_stop,-1.0,-134.39,13304.36,13438.75,-1.0,True
103,2026-05-08 02:54:14.442577+00:00,BRK-B,hit_stop,-1.0,-133.04,13171.31,13438.75,-1.99,True
104,2026-05-08 02:54:14.443979+00:00,BRK-B,expired,-0.275,-36.22,13135.09,13438.75,-2.26,True
105,2026-05-08 02:54:14.453691+00:00,BRK-B,hit_target,1.88,246.94,13382.03,13438.75,-0.42,True
106,2026-05-08 02:54:14.455577+00:00,BRK-B,hit_target,3.08,412.17,13794.2,13794.2,0.0,False
107,2026-05-08 02:54:14.483122+00:00,BRK-B,hit_target,1.5,206.91,14001.11,14001.11,0.0,False
108,2026-05-08 02:54:14.488011+00:00,BRK-B,hit_target,3.35,469.04,14470.15,14470.15,0.0,False
109,2026-05-08 02:54:14.501609+00:00,BRK-B,hit_target,1.67,241.65,14711.8,14711.8,0.0,False
110,2026-05-08 02:54:14.521985+00:00,BRK-B,hit_stop,-1.0,-147.12,14564.68,14711.8,-1.0,True
111,2026-05-08 02:54:14.522740+00:00,BRK-B,hit_stop,-1.0,-145.65,14419.04,14711.8,-1.99,True
112,2026-05-08 02:54:14.550181+00:00,BRK-B,expired,0.465,67.04,14486.07,14711.8,-1.53,True
113,2026-05-08 02:54:14.550989+00:00,BRK-B,expired,0.012,1.69,14487.76,14711.8,-1.52,True
114,2026-05-08 02:54:14.564452+00:00,BRK-B,hit_stop,-1.0,-144.88,14342.88,14711.8,-2.51,True
115,2026-05-08 02:54:14.577643+00:00,BRK-B,hit_stop,-1.0,-143.43,14199.45,14711.8,-3.48,True
116,2026-05-08 02:54:15.393505+00:00,V,expired,1.475,209.38,14408.84,14711.8,-2.06,True
117,2026-05-08 02:54:15.395446+00:00,V,expired,0.626,90.19,14499.02,14711.8,-1.45,True
118,2026-05-08 02:54:15.396798+00:00,V,expired,0.331,48.06,14547.08,14711.8,-1.12,True
119,2026-05-08 02:54:15.400536+00:00,V,hit_target,2.09,304.03,14851.12,14851.12,0.0,False
120,2026-05-08 02:54:15.409004+00:00,V,hit_stop,-1.0,-148.51,14702.6,14851.12,-1.0,True
121,2026-05-08 02:54:15.418958+00:00,V,hit_stop,-1.0,-147.03,14555.58,14851.12,-1.99,True
122,2026-05-08 02:54:15.440919+00:00,V,hit_stop,-1.0,-145.56,14410.02,14851.12,-2.97,True
123,2026-05-08 02:54:15.448990+00:00,V,hit_target,1.92,276.67,14686.7,14851.12,-1.11,True
124,2026-05-08 02:54:15.450358+00:00,V,expired,1.2,176.28,14862.98,14862.98,0.0,False
125,2026-05-08 02:54:15.452867+00:00,V,expired,0.755,112.2,14975.18,14975.18,0.0,False
126,2026-05-08 02:54:15.458961+00:00,V,hit_target,2.4,359.4,15334.58,15334.58,0.0,False
127,2026-05-08 02:54:15.464408+00:00,V,hit_stop,-1.0,-153.35,15181.24,15334.58,-1.0,True
128,2026-05-08 02:54:15.475860+00:00,V,expired,0.897,136.18,15317.41,15334.58,-0.11,True
129,2026-05-08 02:54:15.481774+00:00,V,hit_stop,-1.0,-153.17,15164.24,15334.58,-1.11,True
