trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
47,2026-05-08 15:41:33.029264+00:00,AMZN,hit_stop,-1.038,-141.96,13536.77,13678.73,-1.04,True
48,2026-05-08 15:41:33.031453+00:00,AMZN,hit_stop,-1.027,-139.06,13397.71,13678.73,-2.05,True
49,2026-05-08 15:41:33.043987+00:00,AMZN,expired,1.089,145.91,13543.62,13678.73,-0.99,True
50,2026-05-08 15:41:33.046004+00:00,AMZN,hit_stop,-1.048,-141.97,13401.65,13678.73,-2.03,True
51,2026-05-08 15:41:33.048107+00:00,AMZN,hit_stop,-1.061,-142.15,13259.51,13678.73,-3.06,True
52,2026-05-08 15:41:33.049097+00:00,AMZN,hit_target,2.383,316.03,13575.54,13678.73,-0.75,True
53,2026-05-08 15:41:33.051969+00:00,AMZN,expired,-0.218,-29.53,13546.01,13678.73,-0.97,True
54,2026-05-08 15:41:33.052299+00:00,AMZN,hit_stop,-1.039,-140.8,13405.21,13678.73,-2.0,True
55,2026-05-08 15:41:33.055989+00:00,AMZN,hit_stop,-1.035,-138.79,13266.42,13678.73,-3.01,True
56,2026-05-08 15:41:33.065384+00:00,AMZN,hit_stop,-1.048,-139.04,13127.38,13678.73,-4.03,True
57,2026-05-08 15:41:33.074173+00:00,AMZN,hit_stop,-1.038,-136.27,12991.11,13678.73,-5.03,True
58,2026-05-08 15:41:33.082373+00:00,AMZN,expired,0.262,34.02,13025.13,13678.73,-4.78,True
59,2026-05-08 15:41:33.083167+00:00,AMZN,hit_stop,-1.053,-137.14,12887.99,13678.73,-5.78,True
60,2026-05-08 15:41:33.101913+00:00,AMZN,expired,0.292,37.6,12925.59,13678.73,-5.51,True
61,2026-05-08 15:41:33.103263+00:00,AMZN,hit_target,1.247,161.17,13086.76,13678.73,-4.33,True
62,2026-05-08 15:41:33.104876+00:00,AMZN,hit_stop,-1.038,-135.89,12950.87,13678.73,-5.32,True
63,2026-05-08 15:41:33.105862+00:00,AMZN,hit_stop,-1.042,-134.92,12815.94,13678.73,-6.31,True
64,2026-05-08 15:41:33.844598+00:00,GOOGL,hit_target,1.632,209.16,13025.1,13678.73,-4.78,True
65,2026-05-08 15:41:33.853063+00:00,GOOGL,hit_stop,-1.047,-136.34,12888.76,13678.73,-5.78,True
66,2026-05-08 15:41:33.856653+00:00,GOOGL,hit_stop,-1.044,-134.57,12754.19,13678.73,-6.76,True
67,2026-05-08 15:41:33.857636+00:00,GOOGL,hit_stop,-1.063,-135.63,12618.56,13678.73,-7.75,True
68,2026-05-08 15:41:33.860638+00:00,GOOGL,hit_stop,-1.053,-132.89,12485.67,13678.73,-8.72,True
69,2026-05-08 15:41:33.871194+00:00,GOOGL,hit_stop,-1.049,-130.97,12354.7,13678.73,-9.68,True
70,2026-05-08 15:41:33.877342+00:00,GOOGL,hit_target,1.885,232.89,12587.59,13678.73,-7.98,True
71,2026-05-08 15:41:33.879377+00:00,GOOGL,hit_stop,-1.039,-130.77,12456.82,13678.73,-8.93,True
72,2026-05-08 15:41:33.899138+00:00,GOOGL,hit_stop,-1.077,-134.13,12322.68,13678.73,-9.91,True
73,2026-05-08 15:41:33.911104+00:00,GOOGL,hit_stop,-1.037,-127.73,12194.95,13678.73,-10.85,True
74,2026-05-08 15:41:33.911900+00:00,GOOGL,hit_stop,-1.04,-126.85,12068.1,13678.73,-11.77,True
75,2026-05-08 15:41:33.925757+00:00,GOOGL,hit_stop,-1.047,-126.29,11941.81,13678.73,-12.7,True
76,2026-05-08 15:41:33.929984+00:00,GOOGL,expired,1.497,178.8,12120.61,13678.73,-11.39,True
77,2026-05-08 15:41:33.931945+00:00,GOOGL,expired,1.524,184.74,12305.35,13678.73,-10.04,True
78,2026-05-08 15:41:33.933086+00:00,GOOGL,hit_target,2.044,251.55,12556.9,13678.73,-8.2,True
79,2026-05-08 15:41:33.958654+00:00,GOOGL,hit_target,2.081,261.36,12818.26,13678.73,-6.29,True
80,2026-05-08 15:41:33.960203+00:00,GOOGL,hit_target,4.408,565.0,13383.26,13678.73,-2.16,True
81,2026-05-08 15:41:34.643256+00:00,META,hit_target,2.538,339.69,13722.95,13722.95,0.0,False
82,2026-05-08 15:41:34.643986+00:00,META,hit_target,2.242,307.64,14030.6,14030.6,0.0,False
83,2026-05-08 15:41:34.671887+00:00,META,expired,1.028,144.17,14174.76,14174.76,0.0,False
84,2026-05-08 15:41:34.672520+00:00,META,expired,-0.527,-74.66,14100.11,14174.76,-0.53,True
85,2026-05-08 15:41:34.679754+00:00,META,hit_stop,-1.049,-147.89,13952.21,14174.76,-1.57,True
86,2026-05-08 15:41:34.683012+00:00,META,hit_target,1.118,156.05,14108.27,14174.76,-0.47,True
87,2026-05-08 15:41:34.685245+00:00,META,expired,-0.456,-64.4,14043.87,14174.76,-0.92,True
88,2026-05-08 15:41:34.696691+00:00,META,expired,0.819,114.96,14158.82,14174.76,-0.11,True
89,2026-05-08 15:41:34.698572+00:00,META,expired,1.426,201.95,14360.77,14360.77,0.0,False
90,2026-05-08 15:41:34.700747+00:00,META,expired,-0.516,-74.08,14286.69,14360.77,-0.52,True
91,2026-05-08 15:41:34.704719+00:00,META,expired,-0.157,-22.46,14264.24,14360.77,-0.67,True
92,2026-05-08 15:41:34.705569+00:00,META,hit_stop,-1.057,-150.74,14113.49,14360.77,-1.72,True
93,2026-05-08 15:41:34.718198+00:00,META,hit_stop,-1.048,-147.86,13965.63,14360.77,-2.75,True
94,2026-05-08 15:41:34.722923+00:00,META,hit_target,2.005,280.0,14245.63,14360.77,-0.8,True
95,2026-05-08 15:41:35.399797+00:00,TSLA,hit_target,2.515,358.29,14603.93,14603.93,0.0,False
96,2026-05-08 15:41:35.443959+00:00,TSLA,hit_target,1.576,230.16,14834.09,14834.09,0.0,False
97,2026-05-08 15:41:35.453837+00:00,TSLA,hit_stop,-1.024,-151.96,14682.13,14834.09,-1.02,True
98,2026-05-08 15:41:35.457503+00:00,TSLA,hit_stop,-1.031,-151.37,14530.76,14834.09,-2.04,True
99,2026-05-08 15:41:35.479761+00:00,TSLA,hit_stop,-1.02,-148.22,14382.54,14834.09,-3.04,True
100,2026-05-08 15:41:35.480777+00:00,TSLA,hit_stop,-1.022,-147.04,14235.5,14834.09,-4.04,True
101,2026-05-08 15:41:36.184906+00:00,BRK-B,expired,1.406,200.08,14435.58,14834.09,-2.69,True
102,2026-05-08 15:41:36.188427+00:00,BRK-B,expired,-0.031,-4.5,14431.08,14834.09,-2.72,True
103,2026-05-08 15:41:36.191190+00:00,BRK-B,hit_target,1.662,239.86,14670.94,14834.09,-1.1,True
104,2026-05-08 15:41:36.191924+00:00,BRK-B,hit_stop,-1.047,-153.64,14517.3,14834.09,-2.14,True
105,2026-05-08 15:41:36.192216+00:00,BRK-B,hit_stop,-1.064,-154.51,14362.79,14834.09,-3.18,True
106,2026-05-08 15:41:36.197456+00:00,BRK-B,hit_stop,-1.174,-168.68,14194.11,14834.09,-4.31,True
107,2026-05-08 15:41:36.198247+00:00,BRK-B,expired,-0.537,-76.16,14117.95,14834.09,-4.83,True
108,2026-05-08 15:41:36.205096+00:00,BRK-B,hit_target,1.835,259.07,14377.02,14834.09,-3.08,True
109,2026-05-08 15:41:36.206179+00:00,BRK-B,hit_target,3.013,433.18,14810.2,14834.09,-0.16,True
110,2026-05-08 15:41:36.227676+00:00,BRK-B,hit_target,1.129,167.16,14977.36,14977.36,0.0,False
111,2026-05-08 15:41:36.228199+00:00,BRK-B,hit_target,3.312,496.06,15473.42,15473.42,0.0,False
112,2026-05-08 15:41:36.236574+00:00,BRK-B,hit_target,1.589,245.84,15719.26,15719.26,0.0,False
113,2026-05-08 15:41:36.237356+00:00,BRK-B,hit_stop,-1.054,-165.73,15553.53,15719.26,-1.05,True
114,2026-05-08 15:41:36.237700+00:00,BRK-B,hit_stop,-1.052,-163.64,15389.89,15719.26,-2.1,True
115,2026-05-08 15:41:36.249881+00:00,BRK-B,hit_stop,-1.04,-160.01,15229.88,15719.26,-3.11,True
116,2026-05-08 15:41:36.250489+00:00,BRK-B,hit_stop,-1.046,-159.24,15070.64,15719.26,-4.13,True
117,2026-05-08 15:41:36.266309+00:00,BRK-B,expired,0.743,111.98,15182.62,15719.26,-3.41,True
118,2026-05-08 15:41:36.266770+00:00,BRK-B,expired,-0.508,-77.18,15105.44,15719.26,-3.9,True
119,2026-05-08 15:41:36.275359+00:00,BRK-B,hit_stop,-1.071,-161.78,14943.67,15719.26,-4.93,True
120,2026-05-08 15:41:36.276117+00:00,BRK-B,expired,-0.448,-66.99,14876.68,15719.26,-5.36,True
121,2026-05-08 15:41:36.283459+00:00,BRK-B,hit_stop,-1.053,-156.63,14720.05,15719.26,-6.36,True
