trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
21,2026-05-09 03:33:08.831203+00:00,MSFT,hit_stop,-1.0,-115.14,11398.78,11513.92,-1.0,True
22,2026-05-09 03:33:08.848529+00:00,MSFT,hit_target,1.86,212.02,11610.8,11610.8,0.0,False
23,2026-05-09 03:33:08.852443+00:00,MSFT,expired,1.383,160.62,11771.41,11771.41,0.0,False
24,2026-05-09 03:33:08.853166+00:00,MSFT,expired,-0.001,-0.08,11771.33,11771.41,-0.0,False
25,2026-05-09 03:33:08.864153+00:00,MSFT,hit_target,2.23,262.5,12033.83,12033.83,0.0,False
26,2026-05-09 03:33:08.865159+00:00,MSFT,expired,0.276,33.18,12067.01,12067.01,0.0,False
27,2026-05-09 03:33:08.875884+00:00,MSFT,hit_stop,-1.0,-120.67,11946.34,12067.01,-1.0,True
28,2026-05-09 03:33:08.892406+00:00,MSFT,expired,0.959,114.59,12060.93,12067.01,-0.05,True
29,2026-05-09 03:33:08.894165+00:00,MSFT,hit_stop,-1.0,-120.61,11940.32,12067.01,-1.05,True
30,2026-05-09 03:33:08.907755+00:00,MSFT,expired,-0.59,-70.47,11869.86,12067.01,-1.63,True
31,2026-05-09 03:33:08.925490+00:00,MSFT,hit_stop,-1.0,-118.7,11751.16,12067.01,-2.62,True
32,2026-05-09 03:33:08.951619+00:00,MSFT,expired,0.45,52.82,11803.98,12067.01,-2.18,True
33,2026-05-09 03:33:08.952370+00:00,MSFT,expired,0.644,76.03,11880.01,12067.01,-1.55,True
34,2026-05-09 03:33:08.955969+00:00,MSFT,hit_target,2.25,267.3,12147.31,12147.31,0.0,False
35,2026-05-09 03:33:08.958952+00:00,MSFT,hit_target,2.36,286.68,12433.99,12433.99,0.0,False
36,2026-05-09 03:33:09.850297+00:00,NVDA,expired,1.8,223.84,12657.83,12657.83,0.0,False
37,2026-05-09 03:33:09.857688+00:00,NVDA,hit_target,1.49,188.6,12846.43,12846.43,0.0,False
38,2026-05-09 03:33:09.859576+00:00,NVDA,hit_target,2.65,340.43,13186.86,13186.86,0.0,False
39,2026-05-09 03:33:09.914615+00:00,NVDA,hit_target,2.37,312.53,13499.39,13499.39,0.0,False
40,2026-05-09 03:33:09.915979+00:00,NVDA,hit_stop,-1.0,-134.99,13364.39,13499.39,-1.0,True
41,2026-05-09 03:33:10.563189+00:00,AMZN,hit_target,2.14,286.0,13650.39,13650.39,0.0,False
42,2026-05-09 03:33:10.564276+00:00,AMZN,expired,3.015,411.61,14062.0,14062.0,0.0,False
43,2026-05-09 03:33:10.565329+00:00,AMZN,expired,0.549,77.16,14139.16,14139.16,0.0,False
44,2026-05-09 03:33:10.569530+00:00,AMZN,expired,0.991,140.07,14279.23,14279.23,0.0,False
45,2026-05-09 03:33:10.572629+00:00,AMZN,hit_stop,-1.0,-142.79,14136.44,14279.23,-1.0,True
46,2026-05-09 03:33:10.576402+00:00,AMZN,hit_stop,-1.0,-141.36,13995.07,14279.23,-1.99,True
47,2026-05-09 03:33:10.598452+00:00,AMZN,expired,1.127,157.74,14152.82,14279.23,-0.89,True
48,2026-05-09 03:33:10.601967+00:00,AMZN,hit_stop,-1.0,-141.53,14011.29,14279.23,-1.88,True
49,2026-05-09 03:33:10.605631+00:00,AMZN,hit_stop,-1.0,-140.11,13871.17,14279.23,-2.86,True
50,2026-05-09 03:33:10.607345+00:00,AMZN,hit_target,2.42,335.68,14206.86,14279.23,-0.51,True
51,2026-05-09 03:33:10.612159+00:00,AMZN,expired,-0.182,-25.9,14180.95,14279.23,-0.69,True
52,2026-05-09 03:33:10.612755+00:00,AMZN,hit_stop,-1.0,-141.81,14039.14,14279.23,-1.68,True
53,2026-05-09 03:33:10.619202+00:00,AMZN,hit_stop,-1.0,-140.39,13898.75,14279.23,-2.66,True
54,2026-05-09 03:33:10.635960+00:00,AMZN,hit_stop,-1.0,-138.99,13759.76,14279.23,-3.64,True
55,2026-05-09 03:33:10.651679+00:00,AMZN,hit_stop,-1.0,-137.6,13622.17,14279.23,-4.6,True
56,2026-05-09 03:33:10.665898+00:00,AMZN,expired,0.293,39.95,13662.11,14279.23,-4.32,True
57,2026-05-09 03:33:10.667225+00:00,AMZN,hit_stop,-1.0,-136.62,13525.49,14279.23,-5.28,True
58,2026-05-09 03:33:10.700080+00:00,AMZN,expired,0.32,43.32,13568.81,14279.23,-4.98,True
59,2026-05-09 03:33:10.703410+00:00,AMZN,expired,1.992,270.36,13839.17,14279.23,-3.08,True
60,2026-05-09 03:33:10.705302+00:00,AMZN,hit_stop,-1.0,-138.39,13700.78,14279.23,-4.05,True
61,2026-05-09 03:33:10.706973+00:00,AMZN,hit_stop,-1.0,-137.01,13563.77,14279.23,-5.01,True
62,2026-05-09 03:33:11.419501+00:00,GOOGL,hit_target,1.67,226.51,13790.29,14279.23,-3.42,True
63,2026-05-09 03:33:11.434062+00:00,GOOGL,hit_stop,-1.0,-137.9,13652.38,14279.23,-4.39,True
64,2026-05-09 03:33:11.440258+00:00,GOOGL,hit_stop,-1.0,-136.52,13515.86,14279.23,-5.35,True
65,2026-05-09 03:33:11.441903+00:00,GOOGL,hit_stop,-1.0,-135.16,13380.7,14279.23,-6.29,True
66,2026-05-09 03:33:11.446575+00:00,GOOGL,hit_stop,-1.0,-133.81,13246.89,14279.23,-7.23,True
67,2026-05-09 03:33:11.465005+00:00,GOOGL,hit_stop,-1.0,-132.47,13114.43,14279.23,-8.16,True
68,2026-05-09 03:33:11.475727+00:00,GOOGL,hit_target,1.92,251.8,13366.22,14279.23,-6.39,True
69,2026-05-09 03:33:11.479221+00:00,GOOGL,hit_stop,-1.0,-133.66,13232.56,14279.23,-7.33,True
70,2026-05-09 03:33:11.513285+00:00,GOOGL,hit_stop,-1.0,-132.33,13100.23,14279.23,-8.26,True
71,2026-05-09 03:33:11.534082+00:00,GOOGL,hit_stop,-1.0,-131.0,12969.23,14279.23,-9.17,True
72,2026-05-09 03:33:11.535442+00:00,GOOGL,hit_stop,-1.0,-129.69,12839.54,14279.23,-10.08,True
73,2026-05-09 03:33:11.559844+00:00,GOOGL,hit_stop,-1.0,-128.4,12711.14,14279.23,-10.98,True
74,2026-05-09 03:33:11.566887+00:00,GOOGL,expired,1.532,194.74,12905.88,14279.23,-9.62,True
75,2026-05-09 03:33:11.570167+00:00,GOOGL,expired,1.566,202.06,13107.94,14279.23,-8.2,True
76,2026-05-09 03:33:11.572145+00:00,GOOGL,hit_target,2.08,272.65,13380.58,14279.23,-6.29,True
77,2026-05-09 03:33:11.616581+00:00,GOOGL,hit_target,2.11,282.33,13662.91,14279.23,-4.32,True
78,2026-05-09 03:33:11.619198+00:00,GOOGL,hit_target,4.44,606.63,14269.55,14279.23,-0.07,True
79,2026-05-09 03:33:12.328644+00:00,META,hit_target,2.58,368.15,14637.7,14637.7,0.0,False
80,2026-05-09 03:33:12.329790+00:00,META,hit_target,2.28,333.74,14971.44,14971.44,0.0,False
81,2026-05-09 03:33:12.378589+00:00,META,expired,1.064,159.32,15130.76,15130.76,0.0,False
82,2026-05-09 03:33:12.379607+00:00,META,expired,-0.474,-71.77,15058.99,15130.76,-0.47,True
83,2026-05-09 03:33:12.392494+00:00,META,hit_stop,-1.0,-150.59,14908.4,15130.76,-1.47,True
84,2026-05-09 03:33:12.402590+00:00,META,expired,-0.41,-61.16,14847.24,15130.76,-1.87,True
85,2026-05-09 03:33:12.422602+00:00,META,expired,0.846,125.63,14972.87,15130.76,-1.04,True
86,2026-05-09 03:33:12.425615+00:00,META,expired,1.46,218.6,15191.47,15191.47,0.0,False
87,2026-05-09 03:33:12.429303+00:00,META,expired,-0.48,-72.93,15118.54,15191.47,-0.48,True
88,2026-05-09 03:33:12.436028+00:00,META,expired,-0.127,-19.14,15099.41,15191.47,-0.61,True
89,2026-05-09 03:33:12.437429+00:00,META,hit_stop,-1.0,-150.99,14948.41,15191.47,-1.6,True
90,2026-05-09 03:33:12.459544+00:00,META,hit_stop,-1.0,-149.48,14798.93,15191.47,-2.58,True
91,2026-05-09 03:33:12.467891+00:00,META,hit_target,2.04,301.9,15100.83,15191.47,-0.6,True
92,2026-05-09 03:33:13.157298+00:00,TSLA,hit_target,2.54,383.56,15484.39,15484.39,0.0,False
93,2026-05-09 03:33:13.234030+00:00,TSLA,hit_target,1.6,247.75,15732.14,15732.14,0.0,False
94,2026-05-09 03:33:13.250762+00:00,TSLA,hit_stop,-1.0,-157.32,15574.82,15732.14,-1.0,True
95,2026-05-09 03:33:13.256758+00:00,TSLA,hit_stop,-1.0,-155.75,15419.07,15732.14,-1.99,True
96,2026-05-09 03:33:13.295533+00:00,TSLA,hit_stop,-1.0,-154.19,15264.88,15732.14,-2.97,True
97,2026-05-09 03:33:13.297208+00:00,TSLA,hit_stop,-1.0,-152.65,15112.23,15732.14,-3.94,True
98,2026-05-09 03:33:14.035746+00:00,BRK-B,expired,1.482,224.01,15336.23,15732.14,-2.52,True
99,2026-05-09 03:33:14.041767+00:00,BRK-B,expired,0.027,4.21,15340.45,15732.14,-2.49,True
100,2026-05-09 03:33:14.046474+00:00,BRK-B,hit_target,1.72,263.86,15604.3,15732.14,-0.81,True
101,2026-05-09 03:33:14.047664+00:00,BRK-B,hit_stop,-1.0,-156.04,15448.26,15732.14,-1.8,True
102,2026-05-09 03:33:14.048119+00:00,BRK-B,hit_stop,-1.0,-154.48,15293.78,15732.14,-2.79,True
103,2026-05-09 03:33:14.057048+00:00,BRK-B,hit_stop,-1.0,-152.94,15140.84,15732.14,-3.76,True
104,2026-05-09 03:33:14.058479+00:00,BRK-B,expired,-0.492,-74.53,15066.31,15732.14,-4.23,True
105,2026-05-09 03:33:14.070478+00:00,BRK-B,hit_target,1.88,283.25,15349.55,15732.14,-2.43,True
106,2026-05-09 03:33:14.072353+00:00,BRK-B,hit_target,3.08,472.77,15822.32,15822.32,0.0,False
