run,final_capital,total_return_pct,max_drawdown_pct,max_consec_losses
312,41330.51,313.31,-14.46,9
313,53574.08,435.74,-7.73,8
314,44702.63,347.03,-6.87,5
315,44398.81,343.99,-7.56,7
316,46240.24,362.4,-8.29,6
317,51455.55,414.56,-9.16,6
318,28534.6,185.35,-10.93,7
319,66538.83,565.39,-7.35,6
320,40614.94,306.15,-8.47,5
321,41420.7,314.21,-8.89,9
322,24276.04,142.76,-11.46,7
323,91037.12,810.37,-8.49,9
324,28408.51,184.09,-12.65,8
325,27205.3,172.05,-10.76,5
326,34040.08,240.4,-8.95,7
327,39797.86,297.98,-8.11,7
328,53737.65,437.38,-5.95,6
329,30349.1,203.49,-15.51,8
330,30407.98,204.08,-7.74,6
331,27732.56,177.33,-15.71,11
332,33303.25,233.03,-11.5,5
333,29803.05,198.03,-9.42,9
334,37164.42,271.64,-8.42,8
335,28746.22,187.46,-10.19,6
336,33593.94,235.94,-18.96,6
337,27034.51,170.35,-9.11,6
338,38100.77,281.01,-9.42,10
339,24355.89,143.56,-9.51,10
340,41661.81,316.62,-13.27,8
341,43859.47,338.59,-11.4,8
342,45554.96,355.55,-7.84,8
343,69231.67,592.32,-7.7,7
344,26834.92,168.35,-13.72,10
345,32985.82,229.86,-9.06,9
346,57958.84,479.59,-8.49,6
347,62056.9,520.57,-6.42,6
348,32416.59,224.17,-13.13,9
349,21496.3,114.96,-16.07,8
350,20694.1,106.94,-10.34,9
351,28590.84,185.91,-15.09,8
352,63232.52,532.33,-20.51,6
353,45279.95,352.8,-10.61,8
354,29011.23,190.11,-14.19,9
355,36884.63,268.85,-14.03,8
356,30011.12,200.11,-8.97,8
357,36618.82,266.19,-8.82,7
358,23974.68,139.75,-13.28,11
359,35522.61,255.23,-8.7,7
360,37920.33,279.2,-7.87,8
361,25910.13,159.1,-13.93,8
362,40852.9,308.53,-27.14,9
363,23393.75,133.94,-11.52,9
364,52982.41,429.82,-6.53,6
365,33035.79,230.36,-10.26,8
366,43088.95,330.89,-8.56,8
367,38086.07,280.86,-12.07,8
368,22570.82,125.71,-12.54,7
369,34399.13,243.99,-14.66,11
370,34881.96,248.82,-7.73,8
371,39973.24,299.73,-11.22,6
372,33176.67,231.77,-13.28,7
373,32311.24,223.11,-14.89,7
374,39419.21,294.19,-9.74,8
375,37978.6,279.79,-12.5,9
376,34809.55,248.1,-9.83,10
377,44599.9,346.0,-9.74,7
378,40100.29,301.0,-10.94,8
379,28028.56,180.29,-9.69,9
380,38734.45,287.34,-9.77,7
381,35341.46,253.41,-12.93,7
382,40922.96,309.23,-13.09,13
383,45359.39,353.59,-9.46,7
384,33907.3,239.07,-10.67,9
385,17182.61,71.83,-14.22,7
386,34386.54,243.87,-10.23,7
387,42366.6,323.67,-10.26,7
388,30843.74,208.44,-10.79,9
389,28845.46,188.45,-14.26,9
390,52682.5,426.82,-6.97,6
391,34636.04,246.36,-13.51,9
392,69859.65,598.6,-6.53,8
393,30533.92,205.34,-11.84,5
