trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
47,2026-08-05 14:52:12.925086+00:00,V,hit_stop,-1.0,-117.56,11638.67,11902.03,-2.21,True
48,2026-08-05 14:52:12.951834+00:00,V,expired,0.62,72.11,11710.78,11902.03,-1.61,True
49,2026-08-05 14:52:12.952592+00:00,V,hit_stop,-1.0,-117.11,11593.68,11902.03,-2.59,True
50,2026-08-05 14:52:12.969880+00:00,V,expired,-0.051,-5.86,11587.82,11902.03,-2.64,True
51,2026-08-05 14:52:13.749846+00:00,MA,expired,-0.624,-72.34,11515.47,11902.03,-3.25,True
52,2026-08-05 14:52:13.775347+00:00,MA,hit_stop,-1.0,-115.15,11400.32,11902.03,-4.22,True
53,2026-08-05 14:52:13.803498+00:00,MA,hit_stop,-1.0,-114.0,11286.31,11902.03,-5.17,True
54,2026-08-05 14:52:13.833656+00:00,MA,expired,-0.363,-40.95,11245.36,11902.03,-5.52,True
55,2026-08-05 14:52:14.474704+00:00,BRK-B,hit_stop,-1.0,-112.45,11132.91,11902.03,-6.46,True
56,2026-08-05 14:52:14.539401+00:00,BRK-B,hit_target,4.512,502.26,11635.17,11902.03,-2.24,True
57,2026-08-05 14:52:14.579444+00:00,BRK-B,expired,-0.467,-54.35,11580.82,11902.03,-2.7,True
58,2026-08-05 14:52:14.601260+00:00,BRK-B,hit_stop,-1.0,-115.81,11465.02,11902.03,-3.67,True
59,2026-08-05 14:52:14.624520+00:00,BRK-B,expired,1.032,118.33,11583.35,11902.03,-2.68,True
60,2026-08-05 14:52:15.383807+00:00,GS,hit_stop,-1.0,-115.83,11467.51,11902.03,-3.65,True
61,2026-08-05 14:52:15.390671+00:00,GS,expired,1.591,182.46,11649.98,11902.03,-2.12,True
62,2026-08-05 14:52:15.394010+00:00,GS,hit_target,4.43,516.09,12166.06,12166.06,0.0,False
63,2026-08-05 14:52:15.408713+00:00,GS,hit_stop,-1.0,-121.66,12044.4,12166.06,-1.0,True
64,2026-08-05 14:52:15.412382+00:00,GS,hit_target,1.116,134.47,12178.87,12178.87,0.0,False
65,2026-08-05 14:52:15.422589+00:00,GS,hit_target,0.938,114.19,12293.06,12293.06,0.0,False
66,2026-08-05 14:52:15.449363+00:00,GS,hit_target,0.768,94.41,12387.48,12387.48,0.0,False
67,2026-08-05 14:52:15.481995+00:00,GS,hit_target,1.062,131.61,12519.09,12519.09,0.0,False
68,2026-08-05 14:52:15.498127+00:00,GS,expired,-0.411,-51.44,12467.64,12519.09,-0.41,True
69,2026-08-05 14:52:15.523734+00:00,GS,hit_stop,-1.0,-124.68,12342.97,12519.09,-1.41,True
70,2026-08-05 14:52:16.438747+00:00,AXP,hit_target,0.643,79.31,12422.28,12519.09,-0.77,True
71,2026-08-05 14:52:16.511516+00:00,AXP,hit_stop,-1.0,-124.22,12298.06,12519.09,-1.77,True
72,2026-08-05 14:52:16.515104+00:00,AXP,hit_target,0.972,119.5,12417.56,12519.09,-0.81,True
73,2026-08-05 14:52:17.324103+00:00,UNH,hit_target,1.41,175.09,12592.65,12592.65,0.0,False
74,2026-08-05 14:52:17.326633+00:00,UNH,hit_stop,-1.0,-125.93,12466.72,12592.65,-1.0,True
75,2026-08-05 14:52:17.352307+00:00,UNH,expired,0.655,81.7,12548.42,12592.65,-0.35,True
76,2026-08-05 14:52:17.398766+00:00,UNH,hit_target,2.692,337.86,12886.28,12886.28,0.0,False
77,2026-08-05 14:52:17.418762+00:00,UNH,hit_target,1.003,129.29,13015.57,13015.57,0.0,False
78,2026-08-05 14:52:17.450101+00:00,UNH,hit_target,1.419,184.72,13200.29,13200.29,0.0,False
79,2026-08-05 14:52:18.338591+00:00,LLY,hit_target,1.43,188.76,13389.05,13389.05,0.0,False
80,2026-08-05 14:52:18.374387+00:00,LLY,expired,1.254,167.94,13556.99,13556.99,0.0,False
81,2026-08-05 14:52:18.411238+00:00,LLY,hit_target,1.001,135.72,13692.71,13692.71,0.0,False
82,2026-08-05 14:52:18.419596+00:00,LLY,hit_stop,-1.0,-136.93,13555.78,13692.71,-1.0,True
83,2026-08-05 14:52:18.442798+00:00,LLY,expired,-0.563,-76.37,13479.41,13692.71,-1.56,True
84,2026-08-05 14:52:19.274034+00:00,ABT,expired,1.664,224.25,13703.66,13703.66,0.0,False
85,2026-08-05 14:52:19.321499+00:00,ABT,hit_stop,-1.0,-137.04,13566.62,13703.66,-1.0,True
86,2026-08-05 14:52:19.408051+00:00,ABT,hit_target,0.855,116.05,13682.67,13703.66,-0.15,True
87,2026-08-05 14:52:20.109216+00:00,ISRG,hit_target,1.648,225.52,13908.19,13908.19,0.0,False
88,2026-08-05 14:52:20.112091+00:00,ISRG,hit_stop,-1.0,-139.08,13769.11,13908.19,-1.0,True
89,2026-08-05 14:52:20.115071+00:00,ISRG,hit_stop,-1.0,-137.69,13631.42,13908.19,-1.99,True
90,2026-08-05 14:52:20.191739+00:00,ISRG,hit_stop,-1.0,-136.31,13495.11,13908.19,-2.97,True
91,2026-08-05 14:52:21.004128+00:00,HD,hit_target,1.408,190.07,13685.18,13908.19,-1.6,True
92,2026-08-05 14:52:21.092323+00:00,HD,expired,5.332,729.75,14414.93,14414.93,0.0,False
93,2026-08-05 14:52:21.094271+00:00,HD,hit_stop,-1.0,-144.15,14270.78,14414.93,-1.0,True
94,2026-08-05 14:52:21.983856+00:00,COST,hit_target,1.033,147.36,14418.14,14418.14,0.0,False
95,2026-08-05 14:52:22.992595+00:00,NKE,expired,-0.708,-102.1,14316.04,14418.14,-0.71,True
96,2026-08-05 14:52:22.997104+00:00,NKE,hit_stop,-1.0,-143.16,14172.88,14418.14,-1.7,True
97,2026-08-05 14:52:23.957167+00:00,MCD,hit_stop,-1.0,-141.73,14031.15,14418.14,-2.68,True
98,2026-08-05 14:52:23.959023+00:00,MCD,hit_stop,-1.0,-140.31,13890.84,14418.14,-3.66,True
99,2026-08-05 14:52:24.015990+00:00,MCD,hit_stop,-1.0,-138.91,13751.93,14418.14,-4.62,True
100,2026-08-05 14:52:24.062228+00:00,MCD,expired,2.846,391.34,14143.27,14418.14,-1.91,True
101,2026-08-05 14:52:24.062795+00:00,MCD,hit_stop,-1.0,-141.43,14001.84,14418.14,-2.89,True
102,2026-08-05 14:52:24.807399+00:00,TSLA,hit_stop,-1.0,-140.02,13861.82,14418.14,-3.86,True
103,2026-08-05 14:52:25.749680+00:00,CAT,hit_target,2.293,317.86,14179.68,14418.14,-1.65,True
104,2026-08-05 14:52:25.756918+00:00,CAT,hit_target,1.489,211.11,14390.79,14418.14,-0.19,True
